site,longitude,latitude,survey_year,zone,transect,classcode,count,survey
120_REEF,-118.39227,33.73749,2010,INNER,1,MACPYRAD,17,pisco
120_REEF,-118.39227,33.73749,2010,INNER,2,MACPYRAD,24,pisco
120_REEF,-118.39227,33.73749,2010,MID,1,MACPYRAD,21,pisco
120_REEF,-118.39227,33.73749,2010,MID,2,MACPYRAD,17,pisco
120_REEF,-118.39227,33.73749,2011,INNER,1,MACPYRAD,28,pisco
120_REEF,-118.39227,33.73749,2011,INNER,2,MACPYRAD,8,pisco
120_REEF,-118.39227,33.73749,2011,MID,1,MACPYRAD,44,pisco
120_REEF,-118.39227,33.73749,2011,MID,2,MACPYRAD,38,pisco
120_REEF,-118.39227,33.73749,2012,INNER,1,MACPYRAD,5,pisco
120_REEF,-118.39227,33.73749,2012,INNER,2,MACPYRAD,9,pisco
120_REEF,-118.39227,33.73749,2012,MID,1,MACPYRAD,19,pisco
120_REEF,-118.39227,33.73749,2012,MID,2,MACPYRAD,24,pisco
120_REEF,-118.39227,33.73749,2013,INNER,1,MACPYRAD,2,pisco
120_REEF,-118.39227,33.73749,2013,INNER,2,MACPYRAD,0,pisco
120_REEF,-118.39227,33.73749,2013,MID,1,MACPYRAD,33,pisco
120_REEF,-118.39227,33.73749,2013,MID,2,MACPYRAD,16,pisco
120_REEF,-118.39227,33.73749,2015,INNER,1,MACPYRAD,9,pisco
120_REEF,-118.39227,33.73749,2015,INNER,2,MACPYRAD,24,pisco
120_REEF,-118.39227,33.73749,2015,MID,1,MACPYRAD,12,pisco
120_REEF,-118.39227,33.73749,2015,MID,2,MACPYRAD,10,pisco
120_REEF,-118.39227,33.73749,2016,INNER,1,MACPYRAD,36,pisco
120_REEF,-118.39227,33.73749,2016,INNER,2,MACPYRAD,42,pisco
120_REEF,-118.39227,33.73749,2016,MID,1,MACPYRAD,46,pisco
120_REEF,-118.39227,33.73749,2016,MID,2,MACPYRAD,35,pisco
120_REEF,-118.39227,33.73749,2017,INNER,1,MACPYRAD,71,pisco
120_REEF,-118.39227,33.73749,2017,INNER,2,MACPYRAD,80,pisco
120_REEF,-118.39227,33.73749,2017,MID,1,MACPYRAD,56,pisco
120_REEF,-118.39227,33.73749,2017,MID,2,MACPYRAD,56,pisco
120_REEF,-118.39227,33.73749,2018,INNER,1,MACPYRAD,9,pisco
120_REEF,-118.39227,33.73749,2018,INNER,2,MACPYRAD,26,pisco
120_REEF,-118.39227,33.73749,2018,MID,1,MACPYRAD,35,pisco
120_REEF,-118.39227,33.73749,2018,MID,2,MACPYRAD,29,pisco
120_REEF,-118.39227,33.73749,2019,INNER,1,MACPYRAD,27,pisco
120_REEF,-118.39227,33.73749,2019,INNER,2,MACPYRAD,26,pisco
120_REEF,-118.39227,33.73749,2019,MID,1,MACPYRAD,1,pisco
120_REEF,-118.39227,33.73749,2019,MID,2,MACPYRAD,5,pisco
120_REEF,-118.39227,33.73749,2020,INNER,1,MACPYRAD,25,pisco
120_REEF,-118.39227,33.73749,2020,INNER,2,MACPYRAD,35,pisco
120_REEF,-118.39227,33.73749,2020,MID,1,MACPYRAD,6,pisco
120_REEF,-118.39227,33.73749,2020,MID,2,MACPYRAD,5,pisco
120_REEF,-118.39227,33.73749,2021,INNER,1,MACPYRAD,13,pisco
120_REEF,-118.39227,33.73749,2021,INNER,2,MACPYRAD,19,pisco
120_REEF,-118.39227,33.73749,2021,MID,1,MACPYRAD,0,pisco
120_REEF,-118.39227,33.73749,2021,MID,2,MACPYRAD,2,pisco
120_REEF,-118.39227,33.73749,2022,INNER,1,MACPYRAD,19,pisco
120_REEF,-118.39227,33.73749,2022,INNER,2,MACPYRAD,22,pisco
120_REEF,-118.39227,33.73749,2022,MID,1,MACPYRAD,7,pisco
120_REEF,-118.39227,33.73749,2022,MID,2,MACPYRAD,8,pisco
120_REEF,-118.39227,33.73749,2023,INNER,1,MACPYRAD,99,pisco
120_REEF,-118.39227,33.73749,2023,INNER,2,MACPYRAD,23,pisco
120_REEF,-118.39227,33.73749,2023,MID,1,MACPYRAD,5,pisco
120_REEF,-118.39227,33.73749,2023,MID,2,MACPYRAD,4,pisco
120_REEF,-118.39227,33.73749,2010,INNER,1,MACSTIPES,57,pisco
120_REEF,-118.39227,33.73749,2010,INNER,2,MACSTIPES,176,pisco
120_REEF,-118.39227,33.73749,2010,MID,1,MACSTIPES,203,pisco
120_REEF,-118.39227,33.73749,2010,MID,2,MACSTIPES,134,pisco
120_REEF,-118.39227,33.73749,2011,INNER,1,MACSTIPES,354,pisco
120_REEF,-118.39227,33.73749,2011,INNER,2,MACSTIPES,73,pisco
120_REEF,-118.39227,33.73749,2011,MID,1,MACSTIPES,174,pisco
120_REEF,-118.39227,33.73749,2011,MID,2,MACSTIPES,256,pisco
120_REEF,-118.39227,33.73749,2012,INNER,1,MACSTIPES,21,pisco
120_REEF,-118.39227,33.73749,2012,INNER,2,MACSTIPES,66,pisco
120_REEF,-118.39227,33.73749,2012,MID,1,MACSTIPES,308,pisco
120_REEF,-118.39227,33.73749,2012,MID,2,MACSTIPES,322,pisco
120_REEF,-118.39227,33.73749,2013,INNER,1,MACSTIPES,22,pisco
120_REEF,-118.39227,33.73749,2013,INNER,2,MACSTIPES,0,pisco
120_REEF,-118.39227,33.73749,2013,MID,1,MACSTIPES,178,pisco
120_REEF,-118.39227,33.73749,2013,MID,2,MACSTIPES,89,pisco
120_REEF,-118.39227,33.73749,2015,INNER,1,MACSTIPES,48,pisco
120_REEF,-118.39227,33.73749,2015,INNER,2,MACSTIPES,171,pisco
120_REEF,-118.39227,33.73749,2015,MID,1,MACSTIPES,115,pisco
120_REEF,-118.39227,33.73749,2015,MID,2,MACSTIPES,76,pisco
120_REEF,-118.39227,33.73749,2016,INNER,1,MACSTIPES,123,pisco
120_REEF,-118.39227,33.73749,2016,INNER,2,MACSTIPES,190,pisco
120_REEF,-118.39227,33.73749,2016,MID,1,MACSTIPES,232,pisco
120_REEF,-118.39227,33.73749,2016,MID,2,MACSTIPES,170,pisco
120_REEF,-118.39227,33.73749,2017,INNER,1,MACSTIPES,396,pisco
120_REEF,-118.39227,33.73749,2017,INNER,2,MACSTIPES,416,pisco
120_REEF,-118.39227,33.73749,2017,MID,1,MACSTIPES,240,pisco
120_REEF,-118.39227,33.73749,2017,MID,2,MACSTIPES,240,pisco
120_REEF,-118.39227,33.73749,2018,INNER,1,MACSTIPES,47,pisco
120_REEF,-118.39227,33.73749,2018,INNER,2,MACSTIPES,171,pisco
120_REEF,-118.39227,33.73749,2018,MID,1,MACSTIPES,321,pisco
120_REEF,-118.39227,33.73749,2018,MID,2,MACSTIPES,239,pisco
120_REEF,-118.39227,33.73749,2019,INNER,1,MACSTIPES,106,pisco
120_REEF,-118.39227,33.73749,2019,INNER,2,MACSTIPES,102,pisco
120_REEF,-118.39227,33.73749,2019,MID,1,MACSTIPES,2,pisco
120_REEF,-118.39227,33.73749,2019,MID,2,MACSTIPES,10,pisco
120_REEF,-118.39227,33.73749,2020,INNER,1,MACSTIPES,240,pisco
120_REEF,-118.39227,33.73749,2020,INNER,2,MACSTIPES,284,pisco
120_REEF,-118.39227,33.73749,2020,MID,1,MACSTIPES,87,pisco
120_REEF,-118.39227,33.73749,2020,MID,2,MACSTIPES,90,pisco
120_REEF,-118.39227,33.73749,2021,INNER,1,MACSTIPES,154,pisco
120_REEF,-118.39227,33.73749,2021,INNER,2,MACSTIPES,105,pisco
120_REEF,-118.39227,33.73749,2021,MID,1,MACSTIPES,0,pisco
120_REEF,-118.39227,33.73749,2021,MID,2,MACSTIPES,6,pisco
120_REEF,-118.39227,33.73749,2022,INNER,1,MACSTIPES,61,pisco
120_REEF,-118.39227,33.73749,2022,INNER,2,MACSTIPES,115,pisco
120_REEF,-118.39227,33.73749,2022,MID,1,MACSTIPES,46,pisco
120_REEF,-118.39227,33.73749,2022,MID,2,MACSTIPES,30,pisco
120_REEF,-118.39227,33.73749,2023,INNER,1,MACSTIPES,367,pisco
120_REEF,-118.39227,33.73749,2023,INNER,2,MACSTIPES,87,pisco
120_REEF,-118.39227,33.73749,2023,MID,1,MACSTIPES,30,pisco
120_REEF,-118.39227,33.73749,2023,MID,2,MACSTIPES,7,pisco
3_PALMS_EAST,-118.3326001,33.71810456,2007,INNER,1,MACPYRAD,3,pisco
3_PALMS_EAST,-118.3326001,33.71810456,2007,INNER,2,MACPYRAD,3,pisco
3_PALMS_EAST,-118.3326001,33.71810456,2007,MID,1,MACPYRAD,4,pisco
3_PALMS_EAST,-118.3326001,33.71810456,2007,MID,2,MACPYRAD,3,pisco
3_PALMS_EAST,-118.3326001,33.71810456,2007,OUTER,1,MACPYRAD,10,pisco
