site,longitude,latitude,survey_year,zone,transect,classcode,count,survey,density,year
120_REEF,-118.39227,33.73749,2010,INNER,1,MACPYRAD,17,pisco,0.2833333333333333,10
120_REEF,-118.39227,33.73749,2010,INNER,2,MACPYRAD,24,pisco,0.4,10
120_REEF,-118.39227,33.73749,2010,MID,1,MACPYRAD,21,pisco,0.35,10
120_REEF,-118.39227,33.73749,2010,MID,2,MACPYRAD,17,pisco,0.2833333333333333,10
120_REEF,-118.39227,33.73749,2011,INNER,1,MACPYRAD,28,pisco,0.4666666666666667,11
120_REEF,-118.39227,33.73749,2011,INNER,2,MACPYRAD,8,pisco,0.13333333333333333,11
120_REEF,-118.39227,33.73749,2011,MID,1,MACPYRAD,44,pisco,0.7333333333333333,11
120_REEF,-118.39227,33.73749,2011,MID,2,MACPYRAD,38,pisco,0.6333333333333333,11
120_REEF,-118.39227,33.73749,2012,INNER,1,MACPYRAD,5,pisco,0.08333333333333333,12
120_REEF,-118.39227,33.73749,2012,INNER,2,MACPYRAD,9,pisco,0.15,12
120_REEF,-118.39227,33.73749,2012,MID,1,MACPYRAD,19,pisco,0.31666666666666665,12
120_REEF,-118.39227,33.73749,2012,MID,2,MACPYRAD,24,pisco,0.4,12
120_REEF,-118.39227,33.73749,2013,INNER,1,MACPYRAD,2,pisco,0.03333333333333333,13
120_REEF,-118.39227,33.73749,2013,INNER,2,MACPYRAD,0,pisco,0,13
120_REEF,-118.39227,33.73749,2013,MID,1,MACPYRAD,33,pisco,0.55,13
120_REEF,-118.39227,33.73749,2013,MID,2,MACPYRAD,16,pisco,0.26666666666666666,13
120_REEF,-118.39227,33.73749,2015,INNER,1,MACPYRAD,9,pisco,0.15,15
120_REEF,-118.39227,33.73749,2015,INNER,2,MACPYRAD,24,pisco,0.4,15
120_REEF,-118.39227,33.73749,2015,MID,1,MACPYRAD,12,pisco,0.2,15
120_REEF,-118.39227,33.73749,2015,MID,2,MACPYRAD,10,pisco,0.16666666666666666,15
120_REEF,-118.39227,33.73749,2016,INNER,1,MACPYRAD,36,pisco,0.6,16
120_REEF,-118.39227,33.73749,2016,INNER,2,MACPYRAD,42,pisco,0.7,16
120_REEF,-118.39227,33.73749,2016,MID,1,MACPYRAD,46,pisco,0.7666666666666667,16
120_REEF,-118.39227,33.73749,2016,MID,2,MACPYRAD,35,pisco,0.5833333333333334,16
120_REEF,-118.39227,33.73749,2017,INNER,1,MACPYRAD,71,pisco,1.1833333333333333,17
120_REEF,-118.39227,33.73749,2017,INNER,2,MACPYRAD,80,pisco,1.3333333333333333,17
120_REEF,-118.39227,33.73749,2017,MID,1,MACPYRAD,56,pisco,0.9333333333333333,17
120_REEF,-118.39227,33.73749,2017,MID,2,MACPYRAD,56,pisco,0.9333333333333333,17
120_REEF,-118.39227,33.73749,2018,INNER,1,MACPYRAD,9,pisco,0.15,18
120_REEF,-118.39227,33.73749,2018,INNER,2,MACPYRAD,26,pisco,0.43333333333333335,18
120_REEF,-118.39227,33.73749,2018,MID,1,MACPYRAD,35,pisco,0.5833333333333334,18
120_REEF,-118.39227,33.73749,2018,MID,2,MACPYRAD,29,pisco,0.48333333333333334,18
120_REEF,-118.39227,33.73749,2019,INNER,1,MACPYRAD,27,pisco,0.45,19
120_REEF,-118.39227,33.73749,2019,INNER,2,MACPYRAD,26,pisco,0.43333333333333335,19
120_REEF,-118.39227,33.73749,2019,MID,1,MACPYRAD,1,pisco,0.016666666666666666,19
120_REEF,-118.39227,33.73749,2019,MID,2,MACPYRAD,5,pisco,0.08333333333333333,19
120_REEF,-118.39227,33.73749,2020,INNER,1,MACPYRAD,25,pisco,0.4166666666666667,20
120_REEF,-118.39227,33.73749,2020,INNER,2,MACPYRAD,35,pisco,0.5833333333333334,20
120_REEF,-118.39227,33.73749,2020,MID,1,MACPYRAD,6,pisco,0.1,20
120_REEF,-118.39227,33.73749,2020,MID,2,MACPYRAD,5,pisco,0.08333333333333333,20
120_REEF,-118.39227,33.73749,2021,INNER,1,MACPYRAD,13,pisco,0.21666666666666667,21
120_REEF,-118.39227,33.73749,2021,INNER,2,MACPYRAD,19,pisco,0.31666666666666665,21
120_REEF,-118.39227,33.73749,2021,MID,1,MACPYRAD,0,pisco,0,21
120_REEF,-118.39227,33.73749,2021,MID,2,MACPYRAD,2,pisco,0.03333333333333333,21
120_REEF,-118.39227,33.73749,2022,INNER,1,MACPYRAD,19,pisco,0.31666666666666665,22
120_REEF,-118.39227,33.73749,2022,INNER,2,MACPYRAD,22,pisco,0.36666666666666664,22
120_REEF,-118.39227,33.73749,2022,MID,1,MACPYRAD,7,pisco,0.11666666666666667,22
120_REEF,-118.39227,33.73749,2022,MID,2,MACPYRAD,8,pisco,0.13333333333333333,22
120_REEF,-118.39227,33.73749,2023,INNER,1,MACPYRAD,99,pisco,1.65,23
120_REEF,-118.39227,33.73749,2023,INNER,2,MACPYRAD,23,pisco,0.38333333333333336,23
120_REEF,-118.39227,33.73749,2023,MID,1,MACPYRAD,5,pisco,0.08333333333333333,23
120_REEF,-118.39227,33.73749,2023,MID,2,MACPYRAD,4,pisco,0.06666666666666667,23
120_REEF,-118.39227,33.73749,2010,INNER,1,MACSTIPES,57,pisco,0.95,10
120_REEF,-118.39227,33.73749,2010,INNER,2,MACSTIPES,176,pisco,2.933333333333333,10
120_REEF,-118.39227,33.73749,2010,MID,1,MACSTIPES,203,pisco,3.3833333333333333,10
120_REEF,-118.39227,33.73749,2010,MID,2,MACSTIPES,134,pisco,2.2333333333333334,10
120_REEF,-118.39227,33.73749,2011,INNER,1,MACSTIPES,354,pisco,5.9,11
120_REEF,-118.39227,33.73749,2011,INNER,2,MACSTIPES,73,pisco,1.2166666666666666,11
120_REEF,-118.39227,33.73749,2011,MID,1,MACSTIPES,174,pisco,2.9,11
120_REEF,-118.39227,33.73749,2011,MID,2,MACSTIPES,256,pisco,4.266666666666667,11
120_REEF,-118.39227,33.73749,2012,INNER,1,MACSTIPES,21,pisco,0.35,12
120_REEF,-118.39227,33.73749,2012,INNER,2,MACSTIPES,66,pisco,1.1,12
120_REEF,-118.39227,33.73749,2012,MID,1,MACSTIPES,308,pisco,5.133333333333334,12
120_REEF,-118.39227,33.73749,2012,MID,2,MACSTIPES,322,pisco,5.366666666666666,12
120_REEF,-118.39227,33.73749,2013,INNER,1,MACSTIPES,22,pisco,0.36666666666666664,13
120_REEF,-118.39227,33.73749,2013,INNER,2,MACSTIPES,0,pisco,0,13
120_REEF,-118.39227,33.73749,2013,MID,1,MACSTIPES,178,pisco,2.966666666666667,13
120_REEF,-118.39227,33.73749,2013,MID,2,MACSTIPES,89,pisco,1.4833333333333334,13
120_REEF,-118.39227,33.73749,2015,INNER,1,MACSTIPES,48,pisco,0.8,15
120_REEF,-118.39227,33.73749,2015,INNER,2,MACSTIPES,171,pisco,2.85,15
120_REEF,-118.39227,33.73749,2015,MID,1,MACSTIPES,115,pisco,1.9166666666666667,15
120_REEF,-118.39227,33.73749,2015,MID,2,MACSTIPES,76,pisco,1.2666666666666666,15
