site,longitude,latitude,survey_year,zone,transect,classcode,count,survey,density
120_REEF,-118.39227,33.73749,2010,INNER,1,MACPYRAD,17,pisco,0.2833333333333333
120_REEF,-118.39227,33.73749,2010,INNER,2,MACPYRAD,24,pisco,0.4
120_REEF,-118.39227,33.73749,2010,MID,1,MACPYRAD,21,pisco,0.35
120_REEF,-118.39227,33.73749,2010,MID,2,MACPYRAD,17,pisco,0.2833333333333333
120_REEF,-118.39227,33.73749,2011,INNER,1,MACPYRAD,28,pisco,0.4666666666666667
120_REEF,-118.39227,33.73749,2011,INNER,2,MACPYRAD,8,pisco,0.13333333333333333
120_REEF,-118.39227,33.73749,2011,MID,1,MACPYRAD,44,pisco,0.7333333333333333
120_REEF,-118.39227,33.73749,2011,MID,2,MACPYRAD,38,pisco,0.6333333333333333
120_REEF,-118.39227,33.73749,2012,INNER,1,MACPYRAD,5,pisco,0.08333333333333333
120_REEF,-118.39227,33.73749,2012,INNER,2,MACPYRAD,9,pisco,0.15
120_REEF,-118.39227,33.73749,2012,MID,1,MACPYRAD,19,pisco,0.31666666666666665
120_REEF,-118.39227,33.73749,2012,MID,2,MACPYRAD,24,pisco,0.4
120_REEF,-118.39227,33.73749,2013,INNER,1,MACPYRAD,2,pisco,0.03333333333333333
120_REEF,-118.39227,33.73749,2013,INNER,2,MACPYRAD,0,pisco,0
120_REEF,-118.39227,33.73749,2013,MID,1,MACPYRAD,33,pisco,0.55
120_REEF,-118.39227,33.73749,2013,MID,2,MACPYRAD,16,pisco,0.26666666666666666
120_REEF,-118.39227,33.73749,2015,INNER,1,MACPYRAD,9,pisco,0.15
120_REEF,-118.39227,33.73749,2015,INNER,2,MACPYRAD,24,pisco,0.4
120_REEF,-118.39227,33.73749,2015,MID,1,MACPYRAD,12,pisco,0.2
120_REEF,-118.39227,33.73749,2015,MID,2,MACPYRAD,10,pisco,0.16666666666666666
120_REEF,-118.39227,33.73749,2016,INNER,1,MACPYRAD,36,pisco,0.6
120_REEF,-118.39227,33.73749,2016,INNER,2,MACPYRAD,42,pisco,0.7
120_REEF,-118.39227,33.73749,2016,MID,1,MACPYRAD,46,pisco,0.7666666666666667
120_REEF,-118.39227,33.73749,2016,MID,2,MACPYRAD,35,pisco,0.5833333333333334
120_REEF,-118.39227,33.73749,2017,INNER,1,MACPYRAD,71,pisco,1.1833333333333333
120_REEF,-118.39227,33.73749,2017,INNER,2,MACPYRAD,80,pisco,1.3333333333333333
120_REEF,-118.39227,33.73749,2017,MID,1,MACPYRAD,56,pisco,0.9333333333333333
120_REEF,-118.39227,33.73749,2017,MID,2,MACPYRAD,56,pisco,0.9333333333333333
120_REEF,-118.39227,33.73749,2018,INNER,1,MACPYRAD,9,pisco,0.15
120_REEF,-118.39227,33.73749,2018,INNER,2,MACPYRAD,26,pisco,0.43333333333333335
120_REEF,-118.39227,33.73749,2018,MID,1,MACPYRAD,35,pisco,0.5833333333333334
120_REEF,-118.39227,33.73749,2018,MID,2,MACPYRAD,29,pisco,0.48333333333333334
120_REEF,-118.39227,33.73749,2019,INNER,1,MACPYRAD,27,pisco,0.45
120_REEF,-118.39227,33.73749,2019,INNER,2,MACPYRAD,26,pisco,0.43333333333333335
120_REEF,-118.39227,33.73749,2019,MID,1,MACPYRAD,1,pisco,0.016666666666666666
120_REEF,-118.39227,33.73749,2019,MID,2,MACPYRAD,5,pisco,0.08333333333333333
120_REEF,-118.39227,33.73749,2020,INNER,1,MACPYRAD,25,pisco,0.4166666666666667
120_REEF,-118.39227,33.73749,2020,INNER,2,MACPYRAD,35,pisco,0.5833333333333334
120_REEF,-118.39227,33.73749,2020,MID,1,MACPYRAD,6,pisco,0.1
120_REEF,-118.39227,33.73749,2020,MID,2,MACPYRAD,5,pisco,0.08333333333333333
120_REEF,-118.39227,33.73749,2021,INNER,1,MACPYRAD,13,pisco,0.21666666666666667
120_REEF,-118.39227,33.73749,2021,INNER,2,MACPYRAD,19,pisco,0.31666666666666665
120_REEF,-118.39227,33.73749,2021,MID,1,MACPYRAD,0,pisco,0
120_REEF,-118.39227,33.73749,2021,MID,2,MACPYRAD,2,pisco,0.03333333333333333
120_REEF,-118.39227,33.73749,2022,INNER,1,MACPYRAD,19,pisco,0.31666666666666665
120_REEF,-118.39227,33.73749,2022,INNER,2,MACPYRAD,22,pisco,0.36666666666666664
120_REEF,-118.39227,33.73749,2022,MID,1,MACPYRAD,7,pisco,0.11666666666666667
120_REEF,-118.39227,33.73749,2022,MID,2,MACPYRAD,8,pisco,0.13333333333333333
120_REEF,-118.39227,33.73749,2023,INNER,1,MACPYRAD,99,pisco,1.65
120_REEF,-118.39227,33.73749,2023,INNER,2,MACPYRAD,23,pisco,0.38333333333333336
120_REEF,-118.39227,33.73749,2023,MID,1,MACPYRAD,5,pisco,0.08333333333333333
120_REEF,-118.39227,33.73749,2023,MID,2,MACPYRAD,4,pisco,0.06666666666666667
120_REEF,-118.39227,33.73749,2010,INNER,1,MACSTIPES,57,pisco,0.95
120_REEF,-118.39227,33.73749,2010,INNER,2,MACSTIPES,176,pisco,2.933333333333333
120_REEF,-118.39227,33.73749,2010,MID,1,MACSTIPES,203,pisco,3.3833333333333333
120_REEF,-118.39227,33.73749,2010,MID,2,MACSTIPES,134,pisco,2.2333333333333334
120_REEF,-118.39227,33.73749,2011,INNER,1,MACSTIPES,354,pisco,5.9
120_REEF,-118.39227,33.73749,2011,INNER,2,MACSTIPES,73,pisco,1.2166666666666666
120_REEF,-118.39227,33.73749,2011,MID,1,MACSTIPES,174,pisco,2.9
120_REEF,-118.39227,33.73749,2011,MID,2,MACSTIPES,256,pisco,4.266666666666667
120_REEF,-118.39227,33.73749,2012,INNER,1,MACSTIPES,21,pisco,0.35
120_REEF,-118.39227,33.73749,2012,INNER,2,MACSTIPES,66,pisco,1.1
120_REEF,-118.39227,33.73749,2012,MID,1,MACSTIPES,308,pisco,5.133333333333334
120_REEF,-118.39227,33.73749,2012,MID,2,MACSTIPES,322,pisco,5.366666666666666
120_REEF,-118.39227,33.73749,2013,INNER,1,MACSTIPES,22,pisco,0.36666666666666664
120_REEF,-118.39227,33.73749,2013,INNER,2,MACSTIPES,0,pisco,0
120_REEF,-118.39227,33.73749,2013,MID,1,MACSTIPES,178,pisco,2.966666666666667
120_REEF,-118.39227,33.73749,2013,MID,2,MACSTIPES,89,pisco,1.4833333333333334
120_REEF,-118.39227,33.73749,2015,INNER,1,MACSTIPES,48,pisco,0.8
120_REEF,-118.39227,33.73749,2015,INNER,2,MACSTIPES,171,pisco,2.85
120_REEF,-118.39227,33.73749,2015,MID,1,MACSTIPES,115,pisco,1.9166666666666667
120_REEF,-118.39227,33.73749,2015,MID,2,MACSTIPES,76,pisco,1.2666666666666666
120_REEF,-118.39227,33.73749,2016,INNER,1,MACSTIPES,123,pisco,2.05
120_REEF,-118.39227,33.73749,2016,INNER,2,MACSTIPES,190,pisco,3.1666666666666665
120_REEF,-118.39227,33.73749,2016,MID,1,MACSTIPES,232,pisco,3.8666666666666667
120_REEF,-118.39227,33.73749,2016,MID,2,MACSTIPES,170,pisco,2.8333333333333335
120_REEF,-118.39227,33.73749,2017,INNER,1,MACSTIPES,396,pisco,6.6
120_REEF,-118.39227,33.73749,2017,INNER,2,MACSTIPES,416,pisco,6.933333333333334
120_REEF,-118.39227,33.73749,2017,MID,1,MACSTIPES,240,pisco,4
120_REEF,-118.39227,33.73749,2017,MID,2,MACSTIPES,240,pisco,4
120_REEF,-118.39227,33.73749,2018,INNER,1,MACSTIPES,47,pisco,0.7833333333333333
120_REEF,-118.39227,33.73749,2018,INNER,2,MACSTIPES,171,pisco,2.85
120_REEF,-118.39227,33.73749,2018,MID,1,MACSTIPES,321,pisco,5.35
120_REEF,-118.39227,33.73749,2018,MID,2,MACSTIPES,239,pisco,3.9833333333333334
120_REEF,-118.39227,33.73749,2019,INNER,1,MACSTIPES,106,pisco,1.7666666666666666
120_REEF,-118.39227,33.73749,2019,INNER,2,MACSTIPES,102,pisco,1.7
120_REEF,-118.39227,33.73749,2019,MID,1,MACSTIPES,2,pisco,0.03333333333333333
120_REEF,-118.39227,33.73749,2019,MID,2,MACSTIPES,10,pisco,0.16666666666666666
120_REEF,-118.39227,33.73749,2020,INNER,1,MACSTIPES,240,pisco,4
120_REEF,-118.39227,33.73749,2020,INNER,2,MACSTIPES,284,pisco,4.733333333333333
120_REEF,-118.39227,33.73749,2020,MID,1,MACSTIPES,87,pisco,1.45
120_REEF,-118.39227,33.73749,2020,MID,2,MACSTIPES,90,pisco,1.5
120_REEF,-118.39227,33.73749,2021,INNER,1,MACSTIPES,154,pisco,2.566666666666667
120_REEF,-118.39227,33.73749,2021,INNER,2,MACSTIPES,105,pisco,1.75
120_REEF,-118.39227,33.73749,2021,MID,1,MACSTIPES,0,pisco,0
120_REEF,-118.39227,33.73749,2021,MID,2,MACSTIPES,6,pisco,0.1
120_REEF,-118.39227,33.73749,2022,INNER,1,MACSTIPES,61,pisco,1.0166666666666666
120_REEF,-118.39227,33.73749,2022,INNER,2,MACSTIPES,115,pisco,1.9166666666666667
120_REEF,-118.39227,33.73749,2022,MID,1,MACSTIPES,46,pisco,0.7666666666666667
120_REEF,-118.39227,33.73749,2022,MID,2,MACSTIPES,30,pisco,0.5
120_REEF,-118.39227,33.73749,2023,INNER,1,MACSTIPES,367,pisco,6.116666666666666
120_REEF,-118.39227,33.73749,2023,INNER,2,MACSTIPES,87,pisco,1.45
120_REEF,-118.39227,33.73749,2023,MID,1,MACSTIPES,30,pisco,0.5
120_REEF,-118.39227,33.73749,2023,MID,2,MACSTIPES,7,pisco,0.11666666666666667
3_PALMS_EAST,-118.3326001,33.71810456,2007,INNER,1,MACPYRAD,3,pisco,0.05
3_PALMS_EAST,-118.3326001,33.71810456,2007,INNER,2,MACPYRAD,3,pisco,0.05
3_PALMS_EAST,-118.3326001,33.71810456,2007,MID,1,MACPYRAD,4,pisco,0.06666666666666667
3_PALMS_EAST,-118.3326001,33.71810456,2007,MID,2,MACPYRAD,3,pisco,0.05
3_PALMS_EAST,-118.3326001,33.71810456,2007,OUTER,1,MACPYRAD,10,pisco,0.16666666666666666
3_PALMS_EAST,-118.3326001,33.71810456,2007,OUTER,2,MACPYRAD,13,pisco,0.21666666666666667
3_PALMS_EAST,-118.3326001,33.71810456,2008,MID,1,MACPYRAD,13,pisco,0.21666666666666667
3_PALMS_EAST,-118.3326001,33.71810456,2008,MID,2,MACPYRAD,11,pisco,0.18333333333333332
3_PALMS_EAST,-118.3326001,33.71810456,2008,INNER,1,MACPYRAD,14,pisco,0.23333333333333334
3_PALMS_EAST,-118.3326001,33.71810456,2008,INNER,2,MACPYRAD,46,pisco,0.7666666666666667
3_PALMS_EAST,-118.3326001,33.71810456,2009,OUTER,1,MACPYRAD,0,pisco,0
3_PALMS_EAST,-118.3326001,33.71810456,2009,OUTER,2,MACPYRAD,1,pisco,0.016666666666666666
3_PALMS_EAST,-118.3326001,33.71810456,2009,INNER,1,MACPYRAD,33,pisco,0.55
3_PALMS_EAST,-118.3326001,33.71810456,2009,INNER,2,MACPYRAD,24,pisco,0.4
3_PALMS_EAST,-118.3326001,33.71810456,2009,MID,1,MACPYRAD,9,pisco,0.15
3_PALMS_EAST,-118.3326001,33.71810456,2009,MID,2,MACPYRAD,32,pisco,0.5333333333333333
3_PALMS_EAST,-118.3326001,33.71810456,2014,OUTER,1,MACPYRAD,1,pisco,0.016666666666666666
3_PALMS_EAST,-118.3326001,33.71810456,2014,OUTER,2,MACPYRAD,0,pisco,0
3_PALMS_EAST,-118.3326001,33.71810456,2014,INNER,1,MACPYRAD,0,pisco,0
3_PALMS_EAST,-118.3326001,33.71810456,2014,INNER,2,MACPYRAD,0,pisco,0
3_PALMS_EAST,-118.3326001,33.71810456,2014,MID,1,MACPYRAD,1,pisco,0.016666666666666666
3_PALMS_EAST,-118.3326001,33.71810456,2014,MID,2,MACPYRAD,0,pisco,0
3_PALMS_EAST,-118.3326001,33.71810456,2015,INNER,1,MACPYRAD,22,pisco,0.36666666666666664
3_PALMS_EAST,-118.3326001,33.71810456,2015,INNER,2,MACPYRAD,13,pisco,0.21666666666666667
3_PALMS_EAST,-118.3326001,33.71810456,2015,MID,1,MACPYRAD,19,pisco,0.31666666666666665
3_PALMS_EAST,-118.3326001,33.71810456,2015,MID,2,MACPYRAD,4,pisco,0.06666666666666667
3_PALMS_EAST,-118.3326001,33.71810456,2015,OUTER,1,MACPYRAD,23,pisco,0.38333333333333336
3_PALMS_EAST,-118.3326001,33.71810456,2015,OUTER,2,MACPYRAD,34,pisco,0.5666666666666667
3_PALMS_EAST,-118.3326001,33.71810456,2016,OUTER,1,MACPYRAD,10,pisco,0.16666666666666666
3_PALMS_EAST,-118.3326001,33.71810456,2016,OUTER,2,MACPYRAD,10,pisco,0.16666666666666666
3_PALMS_EAST,-118.3326001,33.71810456,2016,INNER,1,MACPYRAD,40,pisco,0.6666666666666666
3_PALMS_EAST,-118.3326001,33.71810456,2016,INNER,2,MACPYRAD,22,pisco,0.36666666666666664
3_PALMS_EAST,-118.3326001,33.71810456,2016,MID,1,MACPYRAD,7,pisco,0.11666666666666667
3_PALMS_EAST,-118.3326001,33.71810456,2016,MID,2,MACPYRAD,5,pisco,0.08333333333333333
3_PALMS_EAST,-118.3326001,33.71810456,2017,INNER,1,MACPYRAD,55,pisco,0.9166666666666666
3_PALMS_EAST,-118.3326001,33.71810456,2017,INNER,2,MACPYRAD,33,pisco,0.55
3_PALMS_EAST,-118.3326001,33.71810456,2017,MID,1,MACPYRAD,18,pisco,0.3
3_PALMS_EAST,-118.3326001,33.71810456,2017,MID,2,MACPYRAD,3,pisco,0.05
3_PALMS_EAST,-118.3326001,33.71810456,2017,OUTER,1,MACPYRAD,2,pisco,0.03333333333333333
3_PALMS_EAST,-118.3326001,33.71810456,2017,OUTER,2,MACPYRAD,1,pisco,0.016666666666666666
3_PALMS_EAST,-118.3326001,33.71810456,2018,OUTER,1,MACPYRAD,2,pisco,0.03333333333333333
3_PALMS_EAST,-118.3326001,33.71810456,2018,OUTER,2,MACPYRAD,0,pisco,0
3_PALMS_EAST,-118.3326001,33.71810456,2018,INNER,1,MACPYRAD,17,pisco,0.2833333333333333
3_PALMS_EAST,-118.3326001,33.71810456,2018,INNER,2,MACPYRAD,41,pisco,0.6833333333333333
3_PALMS_EAST,-118.3326001,33.71810456,2018,MID,1,MACPYRAD,8,pisco,0.13333333333333333
3_PALMS_EAST,-118.3326001,33.71810456,2018,MID,2,MACPYRAD,37,pisco,0.6166666666666667
3_PALMS_EAST,-118.3326001,33.71810456,2019,INNER,1,MACPYRAD,98,pisco,1.6333333333333333
3_PALMS_EAST,-118.3326001,33.71810456,2019,INNER,2,MACPYRAD,149,pisco,2.4833333333333334
3_PALMS_EAST,-118.3326001,33.71810456,2019,MID,1,MACPYRAD,0,pisco,0
3_PALMS_EAST,-118.3326001,33.71810456,2019,MID,2,MACPYRAD,5,pisco,0.08333333333333333
3_PALMS_EAST,-118.3326001,33.71810456,2019,OUTER,1,MACPYRAD,1,pisco,0.016666666666666666
3_PALMS_EAST,-118.3326001,33.71810456,2019,OUTER,2,MACPYRAD,0,pisco,0
3_PALMS_EAST,-118.3326001,33.71810456,2020,MID,1,MACPYRAD,13,pisco,0.21666666666666667
3_PALMS_EAST,-118.3326001,33.71810456,2020,MID,2,MACPYRAD,25,pisco,0.4166666666666667
3_PALMS_EAST,-118.3326001,33.71810456,2020,OUTER,1,MACPYRAD,4,pisco,0.06666666666666667
3_PALMS_EAST,-118.3326001,33.71810456,2020,OUTER,2,MACPYRAD,4,pisco,0.06666666666666667
3_PALMS_EAST,-118.3326001,33.71810456,2020,INNER,1,MACPYRAD,49,pisco,0.8166666666666667
3_PALMS_EAST,-118.3326001,33.71810456,2020,INNER,2,MACPYRAD,50,pisco,0.8333333333333334
3_PALMS_EAST,-118.3326001,33.71810456,2021,INNER,1,MACPYRAD,43,pisco,0.7166666666666667
3_PALMS_EAST,-118.3326001,33.71810456,2021,INNER,2,MACPYRAD,15,pisco,0.25
3_PALMS_EAST,-118.3326001,33.71810456,2021,MID,1,MACPYRAD,1,pisco,0.016666666666666666
3_PALMS_EAST,-118.3326001,33.71810456,2021,MID,2,MACPYRAD,7,pisco,0.11666666666666667
3_PALMS_EAST,-118.3326001,33.71810456,2021,OUTER,1,MACPYRAD,0,pisco,0
3_PALMS_EAST,-118.3326001,33.71810456,2021,OUTER,2,MACPYRAD,2,pisco,0.03333333333333333
3_PALMS_EAST,-118.3326001,33.71810456,2022,INNER,1,MACPYRAD,57,pisco,0.95
3_PALMS_EAST,-118.3326001,33.71810456,2022,INNER,2,MACPYRAD,33,pisco,0.55
3_PALMS_EAST,-118.3326001,33.71810456,2022,MID,1,MACPYRAD,4,pisco,0.06666666666666667
3_PALMS_EAST,-118.3326001,33.71810456,2022,MID,2,MACPYRAD,0,pisco,0
3_PALMS_EAST,-118.3326001,33.71810456,2022,OUTER,1,MACPYRAD,3,pisco,0.05
3_PALMS_EAST,-118.3326001,33.71810456,2022,OUTER,2,MACPYRAD,5,pisco,0.08333333333333333
3_PALMS_EAST,-118.3326001,33.71810456,2023,OUTER,1,MACPYRAD,0,pisco,0
3_PALMS_EAST,-118.3326001,33.71810456,2023,OUTER,2,MACPYRAD,0,pisco,0
3_PALMS_EAST,-118.3326001,33.71810456,2023,INNER,1,MACPYRAD,58,pisco,0.9666666666666667
3_PALMS_EAST,-118.3326001,33.71810456,2023,INNER,2,MACPYRAD,87,pisco,1.45
3_PALMS_EAST,-118.3326001,33.71810456,2023,MID,1,MACPYRAD,0,pisco,0
3_PALMS_EAST,-118.3326001,33.71810456,2023,MID,2,MACPYRAD,2,pisco,0.03333333333333333
3_PALMS_EAST,-118.3326001,33.71810456,2007,INNER,1,MACSTIPES,3,pisco,0.05
3_PALMS_EAST,-118.3326001,33.71810456,2007,INNER,2,MACSTIPES,3,pisco,0.05
3_PALMS_EAST,-118.3326001,33.71810456,2007,MID,1,MACSTIPES,59,pisco,0.9833333333333333
3_PALMS_EAST,-118.3326001,33.71810456,2007,MID,2,MACSTIPES,29,pisco,0.48333333333333334
3_PALMS_EAST,-118.3326001,33.71810456,2007,OUTER,1,MACSTIPES,125,pisco,2.0833333333333335
3_PALMS_EAST,-118.3326001,33.71810456,2007,OUTER,2,MACSTIPES,172,pisco,2.8666666666666667
3_PALMS_EAST,-118.3326001,33.71810456,2008,MID,1,MACSTIPES,251,pisco,4.183333333333334
3_PALMS_EAST,-118.3326001,33.71810456,2008,MID,2,MACSTIPES,241,pisco,4.016666666666667
3_PALMS_EAST,-118.3326001,33.71810456,2008,INNER,1,MACSTIPES,52,pisco,0.8666666666666667
3_PALMS_EAST,-118.3326001,33.71810456,2008,INNER,2,MACSTIPES,298,pisco,4.966666666666667
3_PALMS_EAST,-118.3326001,33.71810456,2009,OUTER,1,MACSTIPES,0,pisco,0
3_PALMS_EAST,-118.3326001,33.71810456,2009,OUTER,2,MACSTIPES,1,pisco,0.016666666666666666
3_PALMS_EAST,-118.3326001,33.71810456,2009,INNER,1,MACSTIPES,341,pisco,5.683333333333334
3_PALMS_EAST,-118.3326001,33.71810456,2009,INNER,2,MACSTIPES,285,pisco,4.75
3_PALMS_EAST,-118.3326001,33.71810456,2009,MID,1,MACSTIPES,96,pisco,1.6
3_PALMS_EAST,-118.3326001,33.71810456,2009,MID,2,MACSTIPES,349,pisco,5.816666666666666
3_PALMS_EAST,-118.3326001,33.71810456,2014,OUTER,1,MACSTIPES,3,pisco,0.05
3_PALMS_EAST,-118.3326001,33.71810456,2014,OUTER,2,MACSTIPES,0,pisco,0
3_PALMS_EAST,-118.3326001,33.71810456,2014,INNER,1,MACSTIPES,0,pisco,0
3_PALMS_EAST,-118.3326001,33.71810456,2014,INNER,2,MACSTIPES,0,pisco,0
3_PALMS_EAST,-118.3326001,33.71810456,2014,MID,1,MACSTIPES,2,pisco,0.03333333333333333
3_PALMS_EAST,-118.3326001,33.71810456,2014,MID,2,MACSTIPES,0,pisco,0
3_PALMS_EAST,-118.3326001,33.71810456,2015,INNER,1,MACSTIPES,224,pisco,3.7333333333333334
3_PALMS_EAST,-118.3326001,33.71810456,2015,INNER,2,MACSTIPES,79,pisco,1.3166666666666667
3_PALMS_EAST,-118.3326001,33.71810456,2015,MID,1,MACSTIPES,154,pisco,2.566666666666667
3_PALMS_EAST,-118.3326001,33.71810456,2015,MID,2,MACSTIPES,7,pisco,0.11666666666666667
3_PALMS_EAST,-118.3326001,33.71810456,2015,OUTER,1,MACSTIPES,76,pisco,1.2666666666666666
3_PALMS_EAST,-118.3326001,33.71810456,2015,OUTER,2,MACSTIPES,116,pisco,1.9333333333333333
3_PALMS_EAST,-118.3326001,33.71810456,2016,OUTER,1,MACSTIPES,79,pisco,1.3166666666666667
3_PALMS_EAST,-118.3326001,33.71810456,2016,OUTER,2,MACSTIPES,174,pisco,2.9
3_PALMS_EAST,-118.3326001,33.71810456,2016,INNER,1,MACSTIPES,148,pisco,2.466666666666667
3_PALMS_EAST,-118.3326001,33.71810456,2016,INNER,2,MACSTIPES,54,pisco,0.9
3_PALMS_EAST,-118.3326001,33.71810456,2016,MID,1,MACSTIPES,85,pisco,1.4166666666666667
3_PALMS_EAST,-118.3326001,33.71810456,2016,MID,2,MACSTIPES,34,pisco,0.5666666666666667
3_PALMS_EAST,-118.3326001,33.71810456,2017,INNER,1,MACSTIPES,326,pisco,5.433333333333334
3_PALMS_EAST,-118.3326001,33.71810456,2017,INNER,2,MACSTIPES,272,pisco,4.533333333333333
3_PALMS_EAST,-118.3326001,33.71810456,2017,MID,1,MACSTIPES,67,pisco,1.1166666666666667
3_PALMS_EAST,-118.3326001,33.71810456,2017,MID,2,MACSTIPES,7,pisco,0.11666666666666667
3_PALMS_EAST,-118.3326001,33.71810456,2017,OUTER,1,MACSTIPES,18,pisco,0.3
3_PALMS_EAST,-118.3326001,33.71810456,2017,OUTER,2,MACSTIPES,2,pisco,0.03333333333333333
3_PALMS_EAST,-118.3326001,33.71810456,2018,OUTER,1,MACSTIPES,3,pisco,0.05
3_PALMS_EAST,-118.3326001,33.71810456,2018,OUTER,2,MACSTIPES,0,pisco,0
3_PALMS_EAST,-118.3326001,33.71810456,2018,INNER,1,MACSTIPES,187,pisco,3.1166666666666667
3_PALMS_EAST,-118.3326001,33.71810456,2018,INNER,2,MACSTIPES,306,pisco,5.1
3_PALMS_EAST,-118.3326001,33.71810456,2018,MID,1,MACSTIPES,70,pisco,1.1666666666666667
3_PALMS_EAST,-118.3326001,33.71810456,2018,MID,2,MACSTIPES,262,pisco,4.366666666666666
3_PALMS_EAST,-118.3326001,33.71810456,2019,INNER,1,MACSTIPES,455,pisco,7.583333333333333
3_PALMS_EAST,-118.3326001,33.71810456,2019,INNER,2,MACSTIPES,662,pisco,11.033333333333333
3_PALMS_EAST,-118.3326001,33.71810456,2019,MID,1,MACSTIPES,0,pisco,0
3_PALMS_EAST,-118.3326001,33.71810456,2019,MID,2,MACSTIPES,10,pisco,0.16666666666666666
3_PALMS_EAST,-118.3326001,33.71810456,2019,OUTER,1,MACSTIPES,7,pisco,0.11666666666666667
