site,longitude,latitude,survey_year,zone,transect,classcode,count,survey,distance
ANDREW_MOLERA_DC,-121.873038,36.276089,2003,INNER,1,NERLUE,170,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2003,INNER,2,NERLUE,45,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2003,MID,1,NERLUE,63,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2003,MID,2,NERLUE,107,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2003,OUTER,1,NERLUE,93,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2003,OUTER,2,NERLUE,26,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2004,INNER,1,NERLUE,156,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2004,INNER,2,NERLUE,77,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2004,MID,1,NERLUE,15,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2004,MID,2,NERLUE,87,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2004,OUTER,1,NERLUE,0,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2004,OUTER,2,NERLUE,0,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2005,INNER,1,NERLUE,91,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2005,INNER,2,NERLUE,24,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2005,MID,1,NERLUE,0,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2005,MID,2,NERLUE,4,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2005,OUTER,1,NERLUE,8,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2005,OUTER,2,NERLUE,0,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2006,INNER,1,NERLUE,53,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2006,INNER,2,NERLUE,0,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2006,MID,1,NERLUE,10,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2006,MID,2,NERLUE,34,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2006,OUTER,1,NERLUE,0,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2006,OUTER,2,NERLUE,0,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2007,INNER,1,NERLUE,44,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2007,INNER,2,NERLUE,12,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2007,MID,1,NERLUE,9,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2007,MID,2,NERLUE,1,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2007,OUTER,1,NERLUE,64,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2007,OUTER,2,NERLUE,31,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2008,INNER,1,NERLUE,62,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2008,INNER,2,NERLUE,41,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2008,MID,1,NERLUE,21,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2008,MID,2,NERLUE,2,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2008,OUTER,1,NERLUE,15,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2008,OUTER,2,NERLUE,3,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2009,INNER,1,NERLUE,13,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2009,INNER,2,NERLUE,2,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2009,MID,1,NERLUE,0,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2009,MID,2,NERLUE,0,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2009,OUTER,1,NERLUE,0,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2009,OUTER,2,NERLUE,0,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2010,INNER,1,NERLUE,108,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2010,INNER,2,NERLUE,115,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2010,MID,1,NERLUE,15,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2010,MID,2,NERLUE,3,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2010,OUTER,1,NERLUE,0,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2010,OUTER,2,NERLUE,0,pisco,NA
ANDREW_MOLERA_DC,-121.873038,36.276089,2011,INNER,1,NERLUE,22,pisco,NA
