site,longitude,latitude,survey_year,zone,transect,classcode,count,survey,distance
ABALONE_POINT_1,-123.8141,39.6915,2014,INNER,1,NERLUE,3,pisco,NA
ABALONE_POINT_1,-123.8141,39.6915,2014,INNER,2,NERLUE,6,pisco,NA
ABALONE_POINT_1,-123.8141,39.6915,2014,MID,1,NERLUE,1,pisco,NA
ABALONE_POINT_1,-123.8141,39.6915,2014,MID,2,NERLUE,0,pisco,NA
ABALONE_POINT_1,-123.8141,39.6915,2014,OUTER,1,NERLUE,0,pisco,NA
ABALONE_POINT_1,-123.8141,39.6915,2014,OUTER,2,NERLUE,0,pisco,NA
ABALONE_POINT_1,-123.8141,39.6915,2015,INNER,1,NERLUE,0,pisco,NA
ABALONE_POINT_1,-123.8141,39.6915,2015,INNER,2,NERLUE,0,pisco,NA
ABALONE_POINT_1,-123.8141,39.6915,2015,MID,1,NERLUE,0,pisco,NA
ABALONE_POINT_1,-123.8141,39.6915,2015,MID,2,NERLUE,0,pisco,NA
ABALONE_POINT_1,-123.8141,39.6915,2015,OUTER,1,NERLUE,0,pisco,NA
ABALONE_POINT_1,-123.8141,39.6915,2015,OUTER,2,NERLUE,0,pisco,NA
ABALONE_POINT_1,-123.8141,39.6915,2018,INNER,1,NERLUE,42,pisco,NA
ABALONE_POINT_1,-123.8141,39.6915,2018,INNER,2,NERLUE,54,pisco,NA
ABALONE_POINT_1,-123.8141,39.6915,2018,MID,1,NERLUE,76,pisco,NA
ABALONE_POINT_1,-123.8141,39.6915,2018,MID,2,NERLUE,33,pisco,NA
ABALONE_POINT_1,-123.8141,39.6915,2018,OUTER,1,NERLUE,0,pisco,NA
ABALONE_POINT_1,-123.8141,39.6915,2018,OUTER,2,NERLUE,0,pisco,NA
ABALONE_POINT_1,-123.8141,39.6915,2019,INNER,1,NERLUE,6,pisco,NA
ABALONE_POINT_1,-123.8141,39.6915,2019,INNER,2,NERLUE,4,pisco,NA
ABALONE_POINT_1,-123.8141,39.6915,2019,MID,1,NERLUE,0,pisco,NA
ABALONE_POINT_1,-123.8141,39.6915,2019,MID,2,NERLUE,0,pisco,NA
ABALONE_POINT_1,-123.8141,39.6915,2019,OUTER,1,NERLUE,0,pisco,NA
ABALONE_POINT_1,-123.8141,39.6915,2019,OUTER,2,NERLUE,0,pisco,NA
ABALONE_POINT_1,-123.8141,39.6915,2020,INNER,1,NERLUE,5,pisco,NA
ABALONE_POINT_1,-123.8141,39.6915,2020,INNER,2,NERLUE,2,pisco,NA
ABALONE_POINT_1,-123.8141,39.6915,2020,MID,1,NERLUE,19,pisco,NA
ABALONE_POINT_1,-123.8141,39.6915,2020,MID,2,NERLUE,58,pisco,NA
