site,longitude,latitude,survey_year,zone,transect,classcode,count,survey,distance,density,year
SAUNDERS_MPA_1,-123.66842,38.85587,2019,MID,1,NERLUE,0,pisco,NA,0,19
SAUNDERS_MPA_1,-123.66842,38.85587,2019,MID,2,NERLUE,2,pisco,NA,0.03333333333333333,19
SAUNDERS_MPA_1,-123.66842,38.85587,2019,OUTER,1,NERLUE,0,pisco,NA,0,19
SAUNDERS_MPA_1,-123.66842,38.85587,2019,OUTER,2,NERLUE,0,pisco,NA,0,19
SAUNDERS_MPA_1,-123.66842,38.85587,2019,INNER,1,NERLUE,84,pisco,NA,1.4,19
SAUNDERS_MPA_1,-123.66842,38.85587,2019,INNER,2,NERLUE,1,pisco,NA,0.016666666666666666,19
SAUNDERS_MPA_1,-123.66842,38.85587,2020,INNER,1,NERLUE,113,pisco,NA,1.8833333333333333,20
SAUNDERS_MPA_1,-123.66842,38.85587,2020,INNER,2,NERLUE,297,pisco,NA,4.95,20
SAUNDERS_MPA_1,-123.66842,38.85587,2020,MID,1,NERLUE,12,pisco,NA,0.2,20
SAUNDERS_MPA_1,-123.66842,38.85587,2020,MID,2,NERLUE,17,pisco,NA,0.2833333333333333,20
SAUNDERS_MPA_1,-123.66842,38.85587,2020,OUTER,1,NERLUE,24,pisco,NA,0.4,20
SAUNDERS_MPA_1,-123.66842,38.85587,2020,OUTER,2,NERLUE,48,pisco,NA,0.8,20
SAUNDERS_MPA_1,-123.66842,38.85587,2022,INNER,1,NERLUE,0,pisco,NA,0,22
SAUNDERS_MPA_1,-123.66842,38.85587,2022,INNER,2,NERLUE,4,pisco,NA,0.06666666666666667,22
SAUNDERS_MPA_1,-123.66842,38.85587,2022,MID,1,NERLUE,201,pisco,NA,3.35,22
SAUNDERS_MPA_1,-123.66842,38.85587,2022,MID,2,NERLUE,31,pisco,NA,0.5166666666666667,22
SAUNDERS_MPA_1,-123.66842,38.85587,2022,OUTER,1,NERLUE,0,pisco,NA,0,22
SAUNDERS_MPA_1,-123.66842,38.85587,2022,OUTER,2,NERLUE,0,pisco,NA,0,22
SAUNDERS_MPA_1,-123.66842,38.85587,2010,OUTER,1,NERLUE,0,pisco,NA,0,10
SAUNDERS_MPA_1,-123.66842,38.85587,2010,OUTER,2,NERLUE,0,pisco,NA,0,10
SAUNDERS_MPA_1,-123.66842,38.85587,2010,INNER,1,NERLUE,7,pisco,NA,0.11666666666666667,10
SAUNDERS_MPA_1,-123.66842,38.85587,2010,INNER,2,NERLUE,16,pisco,NA,0.26666666666666666,10
SAUNDERS_MPA_1,-123.66842,38.85587,2010,MID,1,NERLUE,0,pisco,NA,0,10
SAUNDERS_MPA_1,-123.66842,38.85587,2010,MID,2,NERLUE,1,pisco,NA,0.016666666666666666,10
SAUNDERS_MPA_1,-123.66842,38.85587,2011,INNER,1,NERLUE,1,pisco,NA,0.016666666666666666,11
SAUNDERS_MPA_1,-123.66842,38.85587,2011,INNER,2,NERLUE,110,pisco,NA,1.8333333333333333,11
SAUNDERS_MPA_1,-123.66842,38.85587,2011,MID,1,NERLUE,4,pisco,NA,0.06666666666666667,11
SAUNDERS_MPA_1,-123.66842,38.85587,2011,MID,2,NERLUE,20,pisco,NA,0.3333333333333333,11
SAUNDERS_MPA_1,-123.66842,38.85587,2011,OUTER,1,NERLUE,0,pisco,NA,0,11
SAUNDERS_MPA_1,-123.66842,38.85587,2011,OUTER,2,NERLUE,0,pisco,NA,0,11
SAUNDERS_MPA_1,-123.66842,38.85587,2016,INNER,1,NERLUE,152,pisco,NA,2.533333333333333,16
SAUNDERS_MPA_1,-123.66842,38.85587,2016,MID,1,NERLUE,9,pisco,NA,0.15,16
SAUNDERS_MPA_1,-123.66842,38.85587,2016,MID,2,NERLUE,138,pisco,NA,2.3,16
SAUNDERS_MPA_1,-123.66842,38.85587,2016,OUTER,1,NERLUE,0,pisco,NA,0,16
SAUNDERS_MPA_1,-123.66842,38.85587,2016,OUTER,2,NERLUE,0,pisco,NA,0,16
SAUNDERS_MPA_1,-123.66842,38.85587,2016,INNER,2,NERLUE,62,pisco,NA,1.0333333333333334,16
SAUNDERS_MPA_1,-123.66842,38.85587,2017,INNER,1,NERLUE,144,pisco,NA,2.4,17
SAUNDERS_MPA_1,-123.66842,38.85587,2017,INNER,2,NERLUE,55,pisco,NA,0.9166666666666666,17
SAUNDERS_MPA_1,-123.66842,38.85587,2017,MID,1,NERLUE,0,pisco,NA,0,17
SAUNDERS_MPA_1,-123.66842,38.85587,2018,OUTER,1,NERLUE,0,pisco,NA,0,18
SAUNDERS_MPA_1,-123.66842,38.85587,2018,OUTER,2,NERLUE,0,pisco,NA,0,18
SAUNDERS_MPA_1,-123.66842,38.85587,2018,INNER,1,NERLUE,397,pisco,NA,6.616666666666666,18
SAUNDERS_MPA_1,-123.66842,38.85587,2018,INNER,2,NERLUE,728,pisco,NA,12.133333333333333,18
SAUNDERS_MPA_1,-123.66842,38.85587,2018,MID,1,NERLUE,0,pisco,NA,0,18
SAUNDERS_MPA_1,-123.66842,38.85587,2018,MID,2,NERLUE,1,pisco,NA,0.016666666666666666,18
SAUNDERS_MPA_2,-123.66662,38.85035,2019,INNER,1,NERLUE,31,pisco,NA,0.5166666666666667,19
SAUNDERS_MPA_2,-123.66662,38.85035,2019,INNER,2,NERLUE,23,pisco,NA,0.38333333333333336,19
SAUNDERS_MPA_2,-123.66662,38.85035,2019,MID,1,NERLUE,0,pisco,NA,0,19
SAUNDERS_MPA_2,-123.66662,38.85035,2019,MID,2,NERLUE,0,pisco,NA,0,19
SAUNDERS_MPA_2,-123.66662,38.85035,2019,OUTER,1,NERLUE,0,pisco,NA,0,19
SAUNDERS_MPA_2,-123.66662,38.85035,2019,OUTER,2,NERLUE,0,pisco,NA,0,19
SAUNDERS_MPA_2,-123.66662,38.85035,2020,INNER,1,NERLUE,66,pisco,NA,1.1,20
SAUNDERS_MPA_2,-123.66662,38.85035,2020,INNER,2,NERLUE,52,pisco,NA,0.8666666666666667,20
SAUNDERS_MPA_2,-123.66662,38.85035,2020,MID,1,NERLUE,90,pisco,NA,1.5,20
SAUNDERS_MPA_2,-123.66662,38.85035,2020,MID,2,NERLUE,66,pisco,NA,1.1,20
SAUNDERS_MPA_2,-123.66662,38.85035,2020,OUTER,1,NERLUE,0,pisco,NA,0,20
SAUNDERS_MPA_2,-123.66662,38.85035,2020,OUTER,2,NERLUE,0,pisco,NA,0,20
SAUNDERS_MPA_2,-123.66662,38.85035,2021,INNER,1,NERLUE,79,pisco,NA,1.3166666666666667,21
SAUNDERS_MPA_2,-123.66662,38.85035,2021,INNER,2,NERLUE,291,pisco,NA,4.85,21
SAUNDERS_MPA_2,-123.66662,38.85035,2021,MID,1,NERLUE,0,pisco,NA,0,21
SAUNDERS_MPA_2,-123.66662,38.85035,2021,MID,2,NERLUE,0,pisco,NA,0,21
SAUNDERS_MPA_2,-123.66662,38.85035,2021,OUTER,1,NERLUE,2,pisco,NA,0.03333333333333333,21
SAUNDERS_MPA_2,-123.66662,38.85035,2021,OUTER,2,NERLUE,46,pisco,NA,0.7666666666666667,21
SAUNDERS_MPA_2,-123.66662,38.85035,2022,INNER,1,NERLUE,21,pisco,NA,0.35,22
SAUNDERS_MPA_2,-123.66662,38.85035,2022,INNER,2,NERLUE,70,pisco,NA,1.1666666666666667,22
SAUNDERS_MPA_2,-123.66662,38.85035,2022,MID,1,NERLUE,0,pisco,NA,0,22
SAUNDERS_MPA_2,-123.66662,38.85035,2022,MID,2,NERLUE,0,pisco,NA,0,22
SAUNDERS_MPA_2,-123.66662,38.85035,2022,OUTER,1,NERLUE,6,pisco,NA,0.1,22
SAUNDERS_MPA_2,-123.66662,38.85035,2022,OUTER,2,NERLUE,5,pisco,NA,0.08333333333333333,22
SAUNDERS_MPA_2,-123.66662,38.85035,2010,INNER,1,NERLUE,18,pisco,NA,0.3,10
SAUNDERS_MPA_2,-123.66662,38.85035,2010,INNER,2,NERLUE,21,pisco,NA,0.35,10
SAUNDERS_MPA_2,-123.66662,38.85035,2010,MID,1,NERLUE,4,pisco,NA,0.06666666666666667,10
SAUNDERS_MPA_2,-123.66662,38.85035,2010,MID,2,NERLUE,13,pisco,NA,0.21666666666666667,10
SAUNDERS_MPA_2,-123.66662,38.85035,2010,OUTER,1,NERLUE,9,pisco,NA,0.15,10
SAUNDERS_MPA_2,-123.66662,38.85035,2010,OUTER,2,NERLUE,0,pisco,NA,0,10
SAUNDERS_MPA_2,-123.66662,38.85035,2011,INNER,1,NERLUE,19,pisco,NA,0.31666666666666665,11
SAUNDERS_MPA_2,-123.66662,38.85035,2011,INNER,2,NERLUE,4,pisco,NA,0.06666666666666667,11
SAUNDERS_MPA_2,-123.66662,38.85035,2011,MID,1,NERLUE,130,pisco,NA,2.1666666666666665,11
SAUNDERS_MPA_2,-123.66662,38.85035,2011,MID,2,NERLUE,155,pisco,NA,2.5833333333333335,11
SAUNDERS_MPA_2,-123.66662,38.85035,2011,OUTER,1,NERLUE,0,pisco,NA,0,11
SAUNDERS_MPA_2,-123.66662,38.85035,2011,OUTER,2,NERLUE,0,pisco,NA,0,11
SAUNDERS_MPA_2,-123.66662,38.85035,2016,INNER,1,NERLUE,43,pisco,NA,0.7166666666666667,16
SAUNDERS_MPA_2,-123.66662,38.85035,2016,INNER,2,NERLUE,266,pisco,NA,4.433333333333334,16
SAUNDERS_MPA_2,-123.66662,38.85035,2016,MID,1,NERLUE,29,pisco,NA,0.48333333333333334,16
SAUNDERS_MPA_2,-123.66662,38.85035,2016,MID,2,NERLUE,30,pisco,NA,0.5,16
SAUNDERS_MPA_2,-123.66662,38.85035,2016,OUTER,1,NERLUE,0,pisco,NA,0,16
SAUNDERS_MPA_2,-123.66662,38.85035,2016,OUTER,2,NERLUE,0,pisco,NA,0,16
SAUNDERS_MPA_2,-123.66662,38.85035,2017,INNER,1,NERLUE,0,pisco,NA,0,17
SAUNDERS_MPA_2,-123.66662,38.85035,2017,INNER,2,NERLUE,0,pisco,NA,0,17
SAUNDERS_MPA_2,-123.66662,38.85035,2017,OUTER,1,NERLUE,0,pisco,NA,0,17
SAUNDERS_MPA_2,-123.66662,38.85035,2017,OUTER,2,NERLUE,0,pisco,NA,0,17
