site,latitude,longitude,survey
SAUNDERS_MPA_1,38.85587,-123.66842,pisco
SAUNDERS_MPA_2,38.85035,-123.66662,pisco
Fort Ross,38.510601,-123.245064,reef_check
Gerstle Cove,38.56646,-123.329964,reef_check
Mendocino Headlands,39.305283,-123.811218,reef_check
Ocean Cove,38.555119,-123.305664,reef_check
Portuguese Beach,39.302264,-123.803283,reef_check
Stillwater Sonoma,38.5459,-123.29991,reef_check
Van Damme,39.271915,-123.795914,reef_check
ANDREW_MOLERA_DC,36.276089,-121.873038,pisco
ANDREW_MOLERA_UC,36.277685,-121.875988,pisco
BLUEFISH_DC,36.52381268,-121.945094,pisco
BLUEFISH_UC,36.522225,-121.943542,pisco
BUCHON,35.244079,-120.901098,pisco
BUTTERFLY_DC,36.537439,-121.93567,pisco
BUTTERFLY_UC,36.539655,-121.936297,pisco
CANNERY_UC,36.612639,-121.894574,pisco
CROWBAR,35.226163,-120.881427,pisco
GREEN_PEAK,35.190104,-120.830687,pisco
HOPKINS_DC,36.623586,-121.904196,pisco
HOPKINS_UC,36.621649,-121.900789,pisco
LITTLE_IRISH_CEN,35.178059,-120.817733,pisco
LITTLE_IRISH_DC,35.175931,-120.812501,pisco
LITTLE_IRISH_UC,35.18421,-120.825084,pisco
LONE_TREE,36.566418,-121.970688,pisco
MACABEE_DC,36.618184,-121.896835,pisco
MACABEE_UC,36.617148,-121.895695,pisco
MALPASO,36.465747,-121.933984,pisco
MONASTERY_DC,36.525415,-121.933322,pisco
MONASTERY_UC,36.525267,-121.930507,pisco
MONTANA_DE_ORO,35.23323,-120.89081,pisco
OTTER_PT_DC,36.636484,-121.921162,pisco
OTTER_PT_UC,36.634633,-121.918929,pisco
PALO_COLORADO,36.397717,-121.911431,pisco
PESCADERO_DC,36.559412,-121.955191,pisco
PESCADERO_UC,36.561121,-121.959761,pisco
PINOS,36.640454,-121.928734,pisco
SIREN,36.630733,-121.91859,pisco
SOBERANES,36.445343,-121.929144,pisco
SOUTH_WRECK_DC,36.223864,-121.787408,pisco
SOUTH_WRECK_UC,36.225295,-121.790545,pisco
STILLWATER_DC,36.559729,-121.944014,pisco
STILLWATER_UC,36.560116,-121.94732,pisco
TENERA,35.238631,-120.895481,pisco
WESTON_DC,36.510347,-121.945786,pisco
WESTON_UC,36.512613,-121.948765,pisco
Big Creek,36.068272,-121.601619,reef_check
