site,latitude,longitude,survey
ABALONE_POINT_1,39.6915,-123.8141,pisco
ABALONE_POINT_2,39.66502,-123.80435,pisco
ABALONE_POINT_3,39.62877,-123.79658,pisco
ANDREW_MOLERA_DC,36.276089,-121.873038,pisco
ANDREW_MOLERA_UC,36.277685,-121.875988,pisco
BIG_CREEK_DC,36.069079,-121.605115,pisco
BIG_CREEK_UC,36.069152,-121.60804,pisco
BIXBY,36.368468,-121.907499,pisco
BLUEFISH_DC,36.52381268,-121.945094,pisco
BLUEFISH_UC,36.522225,-121.943542,pisco
BUCHON,35.244079,-120.901098,pisco
BUTTERFLY_DC,36.537439,-121.93567,pisco
BUTTERFLY_UC,36.539655,-121.936297,pisco
CAMBRIA_DC,35.567893,-121.124319,pisco
CAMBRIA_UC,35.570495,-121.127145,pisco
CANNERY_UC,36.612639,-121.894574,pisco
CASPAR_1,39.37403,-123.82683,pisco
CASPAR_2,39.36445,-123.82388,pisco
CASPAR_3,39.35937,-123.82807,pisco
CAYUCOS_DC,35.434393,-120.947256,pisco
CAYUCOS_UC,35.43415,-120.950473,pisco
COJO_E,34.441287,-120.416793,pisco
COOPER,36.263146,-121.856608,pisco
CROWBAR,35.226163,-120.881427,pisco
CYPRESS_PT_DC,36.579645,-121.982468,pisco
DEL_MAR_REFERENCE_2,38.71557,-123.4698,pisco
DEL_MAR_REFERENCE_3,38.70378,-123.4564,pisco
ESALEN_DC,36.124409,-121.647987,pisco
ESALEN_UC,36.128113,-121.653046,pisco
ESTERO,35.472387,-121.029631,pisco
FALSE_SUR,36.277556,-121.886822,pisco
GREEN_PEAK,35.190104,-120.830687,pisco
HARMONY,35.49641,-121.057808,pisco
HOPKINS_DC,36.623586,-121.904196,pisco
HOPKINS_UC,36.621649,-121.900789,pisco
LA_CRUZ_DC,35.710426,-121.324076,pisco
LA_CRUZ_UC,35.713009,-121.325389,pisco
LITTLE_IRISH_CEN,35.178059,-120.817733,pisco
LITTLE_IRISH_DC,35.175931,-120.812501,pisco
LITTLE_IRISH_UC,35.18421,-120.825084,pisco
LONE_TREE,36.566418,-121.970688,pisco
LOPEZ_DC,36.022241,-121.581233,pisco
LOPEZ_UC,36.02901,-121.581676,pisco
MACABEE_DC,36.618184,-121.896835,pisco
MACABEE_UC,36.617148,-121.895695,pisco
MALPASO,36.465747,-121.933984,pisco
MILL_CREEK_DC,35.972098,-121.491162,pisco
MILL_CREEK_UC,35.975929,-121.493489,pisco
MONASTERY_DC,36.525415,-121.933322,pisco
MONASTERY_UC,36.525267,-121.930507,pisco
MONTANA_DE_ORO,35.23323,-120.89081,pisco
