survey_year,site,zone,transect,classcode,count,survey,longitude,latitude,density,year
2019,SAUNDERS_MPA_1,MID,1,STRPURAD,308,pisco,-123.66842,38.85587,5.133333333333334,19
2019,SAUNDERS_MPA_1,MID,2,STRPURAD,229,pisco,-123.66842,38.85587,3.816666666666667,19
2019,SAUNDERS_MPA_1,OUTER,1,STRPURAD,9,pisco,-123.66842,38.85587,0.15,19
2019,SAUNDERS_MPA_1,OUTER,2,STRPURAD,16,pisco,-123.66842,38.85587,0.26666666666666666,19
2019,SAUNDERS_MPA_1,INNER,1,STRPURAD,1573,pisco,-123.66842,38.85587,26.216666666666665,19
2019,SAUNDERS_MPA_1,INNER,2,STRPURAD,933,pisco,-123.66842,38.85587,15.55,19
2019,SAUNDERS_MPA_2,INNER,1,STRPURAD,1684,pisco,-123.66662,38.85035,28.066666666666666,19
2019,SAUNDERS_MPA_2,INNER,2,STRPURAD,1253,pisco,-123.66662,38.85035,20.883333333333333,19
2019,SAUNDERS_MPA_2,MID,1,STRPURAD,3704,pisco,-123.66662,38.85035,61.733333333333334,19
2019,SAUNDERS_MPA_2,MID,2,STRPURAD,3295,pisco,-123.66662,38.85035,54.916666666666664,19
2019,SAUNDERS_MPA_2,OUTER,1,STRPURAD,19,pisco,-123.66662,38.85035,0.31666666666666665,19
2019,SAUNDERS_MPA_2,OUTER,2,STRPURAD,18,pisco,-123.66662,38.85035,0.3,19
2020,SAUNDERS_MPA_1,INNER,1,STRPURAD,2875,pisco,-123.66842,38.85587,47.916666666666664,20
2020,SAUNDERS_MPA_1,INNER,2,STRPURAD,1188,pisco,-123.66842,38.85587,19.8,20
2020,SAUNDERS_MPA_1,MID,1,STRPURAD,383,pisco,-123.66842,38.85587,6.383333333333334,20
2020,SAUNDERS_MPA_1,MID,2,STRPURAD,1327,pisco,-123.66842,38.85587,22.116666666666667,20
2020,SAUNDERS_MPA_1,OUTER,1,STRPURAD,0,pisco,-123.66842,38.85587,0,20
2020,SAUNDERS_MPA_1,OUTER,2,STRPURAD,1,pisco,-123.66842,38.85587,0.016666666666666666,20
2020,SAUNDERS_MPA_2,INNER,1,STRPURAD,2117,pisco,-123.66662,38.85035,35.28333333333333,20
2020,SAUNDERS_MPA_2,INNER,2,STRPURAD,1492,pisco,-123.66662,38.85035,24.866666666666667,20
2020,SAUNDERS_MPA_2,MID,1,STRPURAD,3617,pisco,-123.66662,38.85035,60.28333333333333,20
2020,SAUNDERS_MPA_2,MID,2,STRPURAD,3738,pisco,-123.66662,38.85035,62.3,20
2020,SAUNDERS_MPA_2,OUTER,1,STRPURAD,7,pisco,-123.66662,38.85035,0.11666666666666667,20
2020,SAUNDERS_MPA_2,OUTER,2,STRPURAD,5,pisco,-123.66662,38.85035,0.08333333333333333,20
2021,SAUNDERS_MPA_2,INNER,1,STRPURAD,1133,pisco,-123.66662,38.85035,18.883333333333333,21
2021,SAUNDERS_MPA_2,INNER,2,STRPURAD,2373,pisco,-123.66662,38.85035,39.55,21
2021,SAUNDERS_MPA_2,MID,1,STRPURAD,1588,pisco,-123.66662,38.85035,26.466666666666665,21
2021,SAUNDERS_MPA_2,MID,2,STRPURAD,4000,pisco,-123.66662,38.85035,66.66666666666667,21
2021,SAUNDERS_MPA_2,OUTER,1,STRPURAD,0,pisco,-123.66662,38.85035,0,21
2021,SAUNDERS_MPA_2,OUTER,2,STRPURAD,4,pisco,-123.66662,38.85035,0.06666666666666667,21
2022,SAUNDERS_MPA_2,INNER,1,STRPURAD,677,pisco,-123.66662,38.85035,11.283333333333333,22
2022,SAUNDERS_MPA_2,INNER,2,STRPURAD,4040,pisco,-123.66662,38.85035,67.33333333333333,22
2022,SAUNDERS_MPA_2,MID,1,STRPURAD,2623,pisco,-123.66662,38.85035,43.71666666666667,22
2022,SAUNDERS_MPA_2,MID,2,STRPURAD,4200,pisco,-123.66662,38.85035,70,22
2022,SAUNDERS_MPA_2,OUTER,1,STRPURAD,1,pisco,-123.66662,38.85035,0.016666666666666666,22
2022,SAUNDERS_MPA_2,OUTER,2,STRPURAD,4,pisco,-123.66662,38.85035,0.06666666666666667,22
2022,SAUNDERS_MPA_1,INNER,1,STRPURAD,8750,pisco,-123.66842,38.85587,145.83333333333334,22
2022,SAUNDERS_MPA_1,INNER,2,STRPURAD,5250,pisco,-123.66842,38.85587,87.5,22
2022,SAUNDERS_MPA_1,MID,1,STRPURAD,140,pisco,-123.66842,38.85587,2.3333333333333335,22
2022,SAUNDERS_MPA_1,MID,2,STRPURAD,381,pisco,-123.66842,38.85587,6.35,22
2022,SAUNDERS_MPA_1,OUTER,1,STRPURAD,2,pisco,-123.66842,38.85587,0.03333333333333333,22
2022,SAUNDERS_MPA_1,OUTER,2,STRPURAD,6,pisco,-123.66842,38.85587,0.1,22
1999,NAPLES_CEN,MID,1,STRPURAD,2435,pisco,-119.9515,34.42185,40.583333333333336,-1
1999,NAPLES_CEN,MID,2,STRPURAD,1942,pisco,-119.9515,34.42185,32.36666666666667,-1
1999,NAPLES_CEN,MID,3,STRPURAD,28,pisco,-119.9515,34.42185,0.4666666666666667,-1
1999,NAPLES_CEN,MID,4,STRPURAD,64,pisco,-119.9515,34.42185,1.0666666666666667,-1
1999,NAPLES_CEN,OUTER,1,STRPURAD,5965,pisco,-119.9515,34.42185,99.41666666666667,-1
1999,NAPLES_CEN,OUTER,2,STRPURAD,1615,pisco,-119.9515,34.42185,26.916666666666668,-1
1999,NAPLES_E,MID,1,STRPURAD,980,pisco,-119.951017,34.423333,16.333333333333332,-1
1999,NAPLES_E,MID,2,STRPURAD,2040,pisco,-119.951017,34.423333,34,-1
1999,NAPLES_E,OUTER,1,STRPURAD,309,pisco,-119.951017,34.423333,5.15,-1
1999,NAPLES_E,OUTER,2,STRPURAD,1455,pisco,-119.951017,34.423333,24.25,-1
1999,ANACAPA_EAST_ISLE_CEN,INNER,1,STRPURAD,55,pisco,-119.363683,34.017667,0.9166666666666666,-1
1999,ANACAPA_EAST_ISLE_CEN,MID,1,STRPURAD,1,pisco,-119.363683,34.017667,0.016666666666666666,-1
1999,ANACAPA_EAST_ISLE_CEN,OUTER,1,STRPURAD,1,pisco,-119.363683,34.017667,0.016666666666666666,-1
1999,ANACAPA_EAST_ISLE_E,INNER,1,STRPURAD,36,pisco,-119.361133,34.017033,0.6,-1
1999,ANACAPA_EAST_ISLE_E,MID,1,STRPURAD,15,pisco,-119.361133,34.017033,0.25,-1
1999,ANACAPA_EAST_ISLE_E,OUTER,1,STRPURAD,15,pisco,-119.361133,34.017033,0.25,-1
1999,ANACAPA_EAST_ISLE_W,INNER,1,STRPURAD,165,pisco,-119.371733,34.015867,2.75,-1
1999,ANACAPA_EAST_ISLE_W,INNER,2,STRPURAD,83,pisco,-119.371733,34.015867,1.3833333333333333,-1
1999,ANACAPA_EAST_ISLE_W,OUTER,1,STRPURAD,11,pisco,-119.371733,34.015867,0.18333333333333332,-1
1999,ANACAPA_EAST_ISLE_W,OUTER,2,STRPURAD,33,pisco,-119.371733,34.015867,0.55,-1
2000,NAPLES_CEN,INNER,1,STRPURAD,1310,pisco,-119.9515,34.42185,21.833333333333332,0
2000,NAPLES_CEN,INNER,2,STRPURAD,2500,pisco,-119.9515,34.42185,41.666666666666664,0
2000,NAPLES_CEN,MID,1,STRPURAD,1790,pisco,-119.9515,34.42185,29.833333333333332,0
2000,NAPLES_CEN,MID,2,STRPURAD,2120,pisco,-119.9515,34.42185,35.333333333333336,0
2000,NAPLES_CEN,OUTER,1,STRPURAD,960,pisco,-119.9515,34.42185,16,0
2000,NAPLES_CEN,OUTER,2,STRPURAD,560,pisco,-119.9515,34.42185,9.333333333333334,0
2000,NAPLES_CEN,INNER,3,STRPURAD,1220,pisco,-119.9515,34.42185,20.333333333333332,0
2000,NAPLES_CEN,INNER,4,STRPURAD,2110,pisco,-119.9515,34.42185,35.166666666666664,0
2000,NAPLES_CEN,MID,3,STRPURAD,1150,pisco,-119.9515,34.42185,19.166666666666668,0
2000,NAPLES_CEN,MID,4,STRPURAD,1260,pisco,-119.9515,34.42185,21,0
2000,NAPLES_CEN,OUTER,3,STRPURAD,780,pisco,-119.9515,34.42185,13,0
2000,ANACAPA_MIDDLE_ISLE_E,INNER,1,STRPURAD,480,pisco,-119.388167,34.0085,8,0
2000,ANACAPA_MIDDLE_ISLE_E,INNER,2,STRPURAD,80,pisco,-119.388167,34.0085,1.3333333333333333,0
2000,ANACAPA_MIDDLE_ISLE_E,MID,1,STRPURAD,170,pisco,-119.388167,34.0085,2.8333333333333335,0
2000,ANACAPA_MIDDLE_ISLE_E,MID,2,STRPURAD,1270,pisco,-119.388167,34.0085,21.166666666666668,0
2000,ANACAPA_MIDDLE_ISLE_E,MID,3,STRPURAD,100,pisco,-119.388167,34.0085,1.6666666666666667,0
2000,ANACAPA_MIDDLE_ISLE_E,MID,4,STRPURAD,850,pisco,-119.388167,34.0085,14.166666666666666,0
2000,ANACAPA_MIDDLE_ISLE_E,OUTER,1,STRPURAD,690,pisco,-119.388167,34.0085,11.5,0
2000,ANACAPA_MIDDLE_ISLE_E,OUTER,2,STRPURAD,510,pisco,-119.388167,34.0085,8.5,0
2000,ANACAPA_MIDDLE_ISLE_E,OUTER,3,STRPURAD,670,pisco,-119.388167,34.0085,11.166666666666666,0
