survey_year,site,zone,transect,classcode,count,survey,longitude,latitude,density
2014,CASPAR_2,OUTER,1,STRPURAD,135,pisco,-123.82388,39.36445,2.25
2014,CASPAR_2,OUTER,2,STRPURAD,40,pisco,-123.82388,39.36445,0.6666666666666666
2014,TEN_MILE_1,INNER,1,STRPURAD,1,pisco,-123.7899,39.59057,0.016666666666666666
2014,TEN_MILE_1,INNER,2,STRPURAD,14,pisco,-123.7899,39.59057,0.23333333333333334
2014,TEN_MILE_1,MID,1,STRPURAD,91,pisco,-123.7899,39.59057,1.5166666666666666
2014,TEN_MILE_1,MID,2,STRPURAD,72,pisco,-123.7899,39.59057,1.2
2014,TEN_MILE_1,OUTER,1,STRPURAD,2,pisco,-123.7899,39.59057,0.03333333333333333
2014,TEN_MILE_1,OUTER,2,STRPURAD,1,pisco,-123.7899,39.59057,0.016666666666666666
2014,CASPAR_2,INNER,1,STRPURAD,60,pisco,-123.82388,39.36445,1
2014,CASPAR_2,INNER,2,STRPURAD,6,pisco,-123.82388,39.36445,0.1
2014,CASPAR_2,MID,1,STRPURAD,250,pisco,-123.82388,39.36445,4.166666666666667
2014,CASPAR_2,MID,2,STRPURAD,660,pisco,-123.82388,39.36445,11
2014,CASPAR_3,INNER,1,STRPURAD,44,pisco,-123.82807,39.35937,0.7333333333333333
2014,CASPAR_3,INNER,2,STRPURAD,32,pisco,-123.82807,39.35937,0.5333333333333333
2014,CASPAR_3,MID,1,STRPURAD,56,pisco,-123.82807,39.35937,0.9333333333333333
2014,CASPAR_3,MID,2,STRPURAD,23,pisco,-123.82807,39.35937,0.38333333333333336
2014,TEN_MILE_2,INNER,1,STRPURAD,0,pisco,-123.78743,39.58253,0
2014,TEN_MILE_2,INNER,2,STRPURAD,0,pisco,-123.78743,39.58253,0
2014,TEN_MILE_2,MID,1,STRPURAD,1,pisco,-123.78743,39.58253,0.016666666666666666
2014,TEN_MILE_2,MID,2,STRPURAD,2,pisco,-123.78743,39.58253,0.03333333333333333
2014,TEN_MILE_2,OUTER,1,STRPURAD,50,pisco,-123.78743,39.58253,0.8333333333333334
2014,TEN_MILE_2,OUTER,2,STRPURAD,1,pisco,-123.78743,39.58253,0.016666666666666666
2014,ABALONE_POINT_1,INNER,1,STRPURAD,8,pisco,-123.8141,39.6915,0.13333333333333333
2014,ABALONE_POINT_1,INNER,2,STRPURAD,12,pisco,-123.8141,39.6915,0.2
2014,ABALONE_POINT_1,MID,1,STRPURAD,6,pisco,-123.8141,39.6915,0.1
2014,ABALONE_POINT_1,MID,2,STRPURAD,3,pisco,-123.8141,39.6915,0.05
2014,ABALONE_POINT_1,OUTER,1,STRPURAD,126,pisco,-123.8141,39.6915,2.1
2014,ABALONE_POINT_1,OUTER,2,STRPURAD,49,pisco,-123.8141,39.6915,0.8166666666666667
2014,CASPAR_1,MID,1,STRPURAD,72,pisco,-123.82683,39.37403,1.2
2014,CASPAR_1,MID,2,STRPURAD,56,pisco,-123.82683,39.37403,0.9333333333333333
2014,CASPAR_1,OUTER,1,STRPURAD,89,pisco,-123.82683,39.37403,1.4833333333333334
2014,CASPAR_1,OUTER,2,STRPURAD,32,pisco,-123.82683,39.37403,0.5333333333333333
2014,CASPAR_3,OUTER,1,STRPURAD,59,pisco,-123.82807,39.35937,0.9833333333333333
2014,CASPAR_3,OUTER,2,STRPURAD,56,pisco,-123.82807,39.35937,0.9333333333333333
