site,latitude,longitude,survey
CASPAR_2,39.36445,-123.82388,pisco
TEN_MILE_1,39.59057,-123.7899,pisco
CASPAR_3,39.35937,-123.82807,pisco
TEN_MILE_2,39.58253,-123.78743,pisco
ABALONE_POINT_1,39.6915,-123.8141,pisco
CASPAR_1,39.37403,-123.82683,pisco
POINT_CABRILLO_3,39.34447,-123.82563,pisco
ABALONE_POINT_2,39.66502,-123.80435,pisco
TEN_MILE_3,39.57333,-123.78268,pisco
ABALONE_POINT_3,39.62877,-123.79658,pisco
POINT_CABRILLO_2,39.35083,-123.82935,pisco
SAUNDERS_MPA_1,38.85587,-123.66842,pisco
SAUNDERS_MPA_3,38.84695,-123.66128,pisco
SAUNDERS_REFERENCE_2,38.80408,-123.5981,pisco
POINT_ARENA_REFERENCE_3,38.88297,-123.69522,pisco
POINT_ARENA_REFERENCE_3,38.88296,-123.69521,pisco
SAUNDERS_MPA_2,38.85035,-123.66662,pisco
STEWARTS_POINT_MPA_3,38.61415,-123.37745,pisco
STEWARTS_POINT_MPA_4,38.59765,-123.36371,pisco
POINT_ARENA_REFERENCE_4,38.87487,-123.68838,pisco
SAUNDERS_REFERENCE_1,38.82227,-123.62233,pisco
SAUNDERS_REFERENCE_1,38.82226,-123.62233,pisco
COJO_E,34.441287,-120.416793,pisco
COJO_W,34.443204,-120.423326,pisco
NAPLES_CEN,34.42185,-119.9515,pisco
NAPLES_E,34.423333,-119.951017,pisco
ANACAPA_EAST_ISLE_CEN,34.017667,-119.363683,pisco
ANACAPA_EAST_ISLE_E,34.017033,-119.361133,pisco
ANACAPA_EAST_ISLE_W,34.015867,-119.371733,pisco
PURISIMA_N,34.729501,-120.631705,pisco
PURISIMA_S,34.726948,-120.627138,pisco
JALAMA_N,34.48696,-120.500523,pisco
JALAMA_S,34.480842,-120.494458,pisco
ANACAPA_MIDDLE_ISLE_E,34.0085,-119.388167,pisco
ANACAPA_MIDDLE_ISLE_CEN,34.0100609,-119.3877751,pisco
SCI_PELICAN_CEN,34.03065,-119.69665,pisco
SCI_PELICAN_E,34.02805,-119.690917,pisco
SCI_HAZARDS_CEN,34.056583,-119.821167,pisco
SCI_PELICAN_W,34.035867,-119.7023,pisco
SCI_HAZARDS_W,34.0581,-119.824833,pisco
SCI_HAZARDS_E,34.054383,-119.81935,pisco
SCI_FORNEY_E,34.051483,-119.909667,pisco
SCI_FORNEY_W,34.053883,-119.9182,pisco
SCI_YELLOWBANKS_CEN,33.988533,-119.546983,pisco
ANACAPA_MIDDLE_ISLE_W,34.007833,-119.394467,pisco
SCI_YELLOWBANKS_W,33.9893,-119.564933,pisco
ANACAPA_WEST_ISLE_W,34.017417,-119.438067,pisco
ANACAPA_WEST_ISLE_CEN,34.016983,-119.432917,pisco
ANACAPA_WEST_ISLE_E,34.016083,-119.421833,pisco
SRI_SOUTH_POINT_E,33.891567,-120.1192,pisco
SRI_SOUTH_POINT_W,33.894167,-120.124883,pisco
SCI_PAINTED_CAVE_CEN,34.072867,-119.870983,pisco
SCI_PAINTED_CAVE_E,34.0719,-119.85755,pisco
SMI_TYLER_BIGHT_W,34.027292,-120.411744,pisco
SMI_CUYLER_E,34.051717,-120.346183,pisco
SMI_CUYLER_W,34.05705,-120.3526,pisco
SMI_CROOK_POINT_W,34.01385,-120.337333,pisco
SRI_CLUSTER_POINT_S,33.923833,-120.192,pisco
